desig7,nm,Tipo,micro,bairro,d1,cf,le,lat,lon
0001004,CP CRECHE CANTINHO FELIZ DE SANTA TERESA,Creche Parceira,1.11,Santa Teresa,102,28,14,-22.93159,-43.19609
0001005,CP CASA MATERNAL CORAÇÃO DE MÃE,Creche Parceira,1.10,Rio Comprido,26,12,9,-22.92507,-43.21432
0001006,CP CRECHE DO TUIUTI,Creche Parceira,1.2,Benfica,71,69,0,-22.89786,-43.23659
0001007,CP EDUCANDÁRIO NOSSA SENHORA DE NAZARÉ,Creche Parceira,1.8,Catumbi,34,20,1,-22.92083,-43.19584
0001009,CP CRECHE COMUNITÁRIA ANITA WAY,Creche Parceira,1.5,Santo Cristo,132,60,10,-22.90094,-43.19773
0001010,CP CENTRO CULTURAL MONTESSORI - SÃO CRISTÓVÃO,Creche Parceira,1.2,São Cristóvão,284,148,38,-22.89683,-43.23647
0002001,CP CRECHE ESPAÇO SEMENTE,Creche Parceira,2.11,Borel / Tijuca,43,37,0,-22.93806,-43.25209
0002002,CP EDUCANDÁRIO CASA DE JACIRA,Creche Parceira,2.12,Tijuca,26,23,1,-22.92425,-43.22076
0002003,CP CENTRO COMUNITÁRIO DA RUA UM UNIÃO FAZ A FORÇA,Creche Parceira,2.8,Rocinha,98,96,0,-22.98642,-43.24522
0002004,CP AÇÃO SOCIAL PADRE ANCHIETA - ASPA,Creche Parceira,2.7,Rocinha,173,81,26,-22.9899,-43.25124
0002005,CP ESCOLA COMUNITÁRIA DO CANTAGALO,Creche Parceira,2.4,Copacabana,35,39,0,-22.9821,-43.19621
0002006,CP CRECHE PRÉ-ESCOLA COMUNITÁRIA DOIS IRMÃOS,Creche Parceira,2.8,Rocinha,30,30,0,-22.98737,-43.2455
0002009,CP ABRIGO TERESA DE JESUS,Creche Parceira,2.15,Tijuca,101,54,6,-22.91367,-43.22072
0002010,CP CRECHE PATINHO FELIZ,Creche Parceira,2.17,Vila Isabel,77,53,1,-22.91516,-43.26163
0002011,CP SOCIEDADE CIVIL DE ASSISTÊNCIA A MENORES - CASA DA DINDA,Creche Parceira,2.18,Vila Isabel,17,8,12,-22.91422,-43.25482
0002012,CP GRUPO COMUNITÁRIO CRECHE ESCOLA TIA MAURA,Creche Parceira,2.10,São Conrado,37,23,11,-22.99453,-43.27299
0002013,CP CENTRO DE EDUCAÇÃO INFANTIL CRISTO REDENTOR,Creche Parceira,2.2,Cosme Velho,32,32,4,-22.93993,-43.20542
0002014,CP CRUZADA PELA INFÂNCIA DO LEME,Creche Parceira,2.3,Copacabana,34,26,15,-22.96098,-43.17908
0002015,CP CRECHE SANT ANNA,Creche Parceira,2.2,Laranjeiras,30,35,3,-22.93863,-43.19267
0002016,CP CASA MATERNAL MELLO MATTOS,Creche Parceira,2.6,Jardim Botânico,81,50,0,-22.96077,-43.22089
0002018,CP FUNDAÇÃO CASA SANTA IGNEZ,Creche Parceira,2.6,Gávea,33,52,0,-22.98325,-43.23882
0002019,CP UNIDAS - OBRAS SOCIAIS UNIDAS DE SANTA MARTA,Creche Parceira,2.1,Botafogo,14,17,0,-22.94739,-43.19407
0002022,CP CRECHE CHAPEUZINHO MARROM,Creche Parceira,2.12,Turano / Rio Comprido,33,25,0,-22.92404,-43.21549
0002024,CP CRECHE ESCADINHA DO SABER,Creche Parceira,2.11,Alto da Boa Vista,1,1,0,-22.97185,-43.28362
0002025,CP CRECHE BEZERRA DE MENEZES - BOTAFOGO,Creche Parceira,2.1,Botafogo,41,32,23,-22.95335,-43.19506
0002026,CP CRECHE MONSENHOR FRANCA,Creche Parceira,2.2,Catete,24,34,1,-22.92696,-43.18175
0002028,CP OBRAS SOCIAIS PADRE ALEIXO,Creche Parceira,2.1,Flamengo,56,59,0,-22.93738,-43.17923
0002029,CP CASA DA CRIANÇA,Creche Parceira,2.1,Botafogo,137,98,41,-22.95377,-43.17704
0002031,CP CENTRO COMUNITÁRIO ALEGRIA DAS CRIANÇAS,Creche Parceira,2.10,Rocinha,64,54,1,-22.99097,-43.24935
