micro,km_mediana,espera_ancorada,espera_com_vaga_ate3km
8.9,3.51,45,0
9.7,3.07,78,26
9.4,1.72,25,25
10.23,0.0,19,19
3.9,0.43,33,33
4.22,0.44,4,4
4.26,0.0,43,43
5.15,0.0,19,19
6.10,3.01,21,10
6.5,3.12,23,3
7.14,0.62,171,171
10.11,0.4,4,4
10.13,1.61,6,6
10.8,1.3,12,12
10.27,2.42,31,31
3.11,0.79,7,7
4.1,0.5,18,18
5.16,0.6,8,8
8.17,2.76,19,11
8.10,2.29,4,4
8.13,2.33,1,1
6.3,1.13,25,25
1.4,2.3,3,3
10.17,1.02,8,8
8.20,1.7,102,102
10.9,0.0,24,24
10.25,2.72,94,94
3.8,0.0,38,38
4.25,0.81,37,37
4.9,0.76,14,14
5.11,1.82,132,132
5.6,0.53,4,4
6.17,2.13,25,25
7.26,3.7,30,0
7.11,1.69,193,193
7.24,2.97,19,19
7.12,0.0,197,197
7.23,2.66,238,202
11.5,10.31,32,0
5.14,1.74,46,46
8.25,3.06,13,2
7.29,1.54,2,2
7.15,0.44,1,1
8.1,2.09,1,1
4.3,0.74,39,39
8.12,2.32,41,41
8.18,1.61,26,26
9.13,0.9,32,32
10.22,1.08,78,78
3.21,0.76,25,25
3.19,0.34,45,45
3.3,0.68,15,15
3.16,0.84,25,25
3.18,0.69,15,15
3.20,0.32,3,3
4.4,1.22,108,108
6.16,2.43,79,79
7.4,2.63,161,161
7.9,1.83,92,92
7.1,0.0,144,144
7.30,3.88,20,0
11.1,3.57,133,0
8.22,2.33,11,11
8.19,1.85,4,4
9.12,0.24,3,3
1.6,3.58,6,0
3.4,0.91,5,5
7.2,0.57,2,2
1.11,1.33,15,15
1.8,1.58,3,3
2.18,1.16,33,33
2.2,0.32,84,84
8.14,1.97,48,46
8.23,0.57,46,46
9.2,4.12,47,8
9.11,0.0,1,1
9.17,1.15,15,15
10.7,0.0,22,22
3.17,0.98,19,19
4.20,0.0,17,17
3.24,0.0,32,32
5.13,0.0,23,23
6.13,1.5,48,48
6.2,2.32,26,26
6.7,2.12,34,34
7.25,2.22,46,24
7.27,3.28,217,0
7.10,1.02,34,34
7.16,1.49,40,40
11.4,9.09,25,0
11.6,8.79,11,0
1.5,3.31,12,0
2.1,1.69,20,20
9.20,2.22,26,26
2.5,1.79,6,6
2.11,0.44,3,3
9.5,2.12,8,8
4.21,0.28,1,1
2.3,0.77,47,47
8.21,0.0,71,71
9.1,4.12,11,0
10.3,0.2,76,76
3.10,1.25,36,36
3.12,0.77,25,25
4.8,0.54,35,35
5.2,1.12,43,43
5.8,2.09,52,52
6.19,1.72,60,60
6.6,3.41,11,0
7.28,1.35,25,25
11.2,6.84,24,0
9.23,1.63,14,14
2.16,0.86,5,5
10.12,0.78,9,9
10.5,0.0,12,12
2.10,0.0,10,10
1.7,2.53,10,10
9.9,1.11,11,11
10.21,2.13,3,3
8.26,2.73,2,2
10.15,1.38,4,4
5.5,1.44,3,3
2.14,1.37,4,4
4.23,1.23,3,3
6.9,3.34,2,0
2.7,0.23,20,20
2.6,0.94,44,44
3.6,0.98,99,99
3.15,0.0,87,87
8.6,0.0,44,44
8.4,0.0,19,19
9.15,3.13,39,16
10.4,2.3,9,9
10.6,1.37,12,12
10.24,0.83,52,52
3.23,0.39,33,33
3.14,0.38,60,60
3.7,1.74,10,10
4.2,0.81,53,53
4.10,1.45,39,39
5.4,0.0,16,16
6.1,3.04,17,2
7.3,1.42,212,212
11.3,7.98,18,0
8.2,0.23,8,8
9.8,4.41,2,0
9.19,2.3,15,15
3.2,0.0,8,8
4.16,0.89,9,9
6.18,1.66,4,4
10.1,1.71,89,89
1.1,2.43,10,10
9.10,0.96,8,8
9.22,0.42,5,5
7.13,0.0,1,1
8.24,2.72,2,2
8.16,2.61,28,28
8.11,4.0,70,0
9.14,1.19,41,41
10.10,0.76,24,24
10.29,6.4,94,0
4.19,0.31,8,8
5.3,0.36,30,30
5.17,0.0,41,41
5.18,2.31,18,18
6.12,0.54,22,22
7.8,0.0,53,53
7.19,1.6,262,262
7.22,2.09,300,300
10.19,2.43,11,11
5.7,2.0,10,10
2.12,2.45,6,6
4.14,0.0,3,3
2.17,1.22,4,4
1.10,1.88,12,12
1.2,1.46,90,90
2.4,1.99,46,46
8.15,1.1,12,12
8.27,1.03,25,25
10.18,1.69,34,34
10.26,1.46,60,60
3.1,0.7,29,29
3.5,0.74,16,16
4.15,0.75,20,20
4.12,0.46,102,102
4.18,0.82,30,30
4.7,0.85,28,28
4.6,0.95,34,34
4.5,1.62,112,112
4.11,2.24,19,19
5.10,0.34,48,48
6.4,2.95,20,20
6.15,2.66,51,51
7.5,1.71,92,92
7.7,2.67,34,34
7.17,0.71,70,70
7.18,1.12,88,88
10.28,1.66,33,19
2.8,0.21,36,36
2.15,2.95,5,5
2.13,0.36,1,1
8.8,2.81,1,1
4.24,0.0,29,29
5.1,1.9,23,23
6.8,2.52,23,23
7.6,2.01,31,31
1.3,1.16,5,5
3.13,1.05,5,5
1.9,2.33,3,3
10.16,2.1,1,1
4.13,1.78,1,1
