micro,cre,unidades,demanda_1a,confirmados,espera,perdeu_convocacao,vagas_ociosas,meta_parceiras,n_parceiras,pressao,deficit
7.28,7,5.0,528.0,427.0,22.0,208.0,0.0,184.0,1.0,1.24,22.0
1.1,1,7.0,471.0,435.0,10.0,78.0,0.0,0.0,0.0,1.08,10.0
2.1,2,6.0,414.0,347.0,58.0,228.0,33.0,488.0,5.0,1.19,25.0
2.3,2,6.0,390.0,277.0,66.0,206.0,6.0,289.0,3.0,1.41,60.0
3.21,3,3.0,266.0,199.0,34.0,44.0,0.0,104.0,1.0,1.34,34.0
5.9,5,2.0,123.0,107.0,0.0,13.0,0.0,0.0,0.0,1.15,0.0
10.14,10,1.0,99.0,94.0,0.0,8.0,0.0,0.0,0.0,1.05,0.0
10.19,10,2.0,136.0,104.0,9.0,62.0,0.0,0.0,0.0,1.31,9.0
3.23,3,4.0,343.0,176.0,39.0,46.0,19.0,165.0,2.0,1.95,20.0
10.20,10,4.0,88.0,81.0,0.0,35.0,0.0,0.0,0.0,1.09,0.0
10.25,10,3.0,381.0,193.0,126.0,80.0,0.0,192.0,2.0,1.97,126.0
4.5,4,6.0,365.0,336.0,230.0,191.0,0.0,0.0,0.0,1.09,230.0
10.10,10,3.0,220.0,172.0,24.0,23.0,8.0,386.0,3.0,1.28,16.0
10.7,10,8.0,381.0,311.0,20.0,82.0,34.0,276.0,2.0,1.23,-14.0
2.5,2,5.0,275.0,232.0,5.0,89.0,5.0,265.0,3.0,1.19,0.0
8.17,8,3.0,245.0,227.0,15.0,185.0,0.0,358.0,2.0,1.08,15.0
4.6,4,1.0,133.0,37.0,98.0,23.0,0.0,0.0,0.0,3.59,98.0
8.16,8,4.0,353.0,372.0,35.0,127.0,0.0,0.0,0.0,0.95,35.0
11.1,11,2.0,297.0,125.0,138.0,39.0,0.0,0.0,0.0,2.38,138.0
7.30,7,2.0,175.0,174.0,45.0,109.0,0.0,0.0,0.0,1.01,45.0
2.18,2,5.0,253.0,165.0,40.0,97.0,0.0,155.0,2.0,1.53,40.0
4.17,4,1.0,94.0,92.0,0.0,11.0,2.0,165.0,1.0,1.02,-2.0
5.8,5,6.0,447.0,330.0,80.0,185.0,0.0,114.0,1.0,1.35,80.0
7.1,7,3.0,523.0,176.0,172.0,93.0,1.0,164.0,1.0,2.97,171.0
4.16,4,4.0,208.0,168.0,11.0,81.0,0.0,184.0,2.0,1.24,11.0
2.4,2,4.0,271.0,165.0,55.0,46.0,0.0,230.0,3.0,1.64,55.0
11.6,11,2.0,179.0,119.0,15.0,37.0,0.0,128.0,1.0,1.5,15.0
2.8,2,9.0,522.0,449.0,38.0,127.0,58.0,560.0,6.0,1.16,-20.0
6.9,6,1.0,93.0,62.0,2.0,14.0,0.0,0.0,0.0,1.5,2.0
10.3,10,5.0,462.0,328.0,74.0,90.0,1.0,270.0,2.0,1.41,73.0
3.3,3,3.0,176.0,115.0,12.0,54.0,2.0,115.0,2.0,1.53,10.0
9.12,9,3.0,278.0,206.0,1.0,79.0,17.0,270.0,2.0,1.35,-16.0
9.5,9,1.0,146.0,63.0,7.0,34.0,0.0,0.0,0.0,2.32,7.0
3.24,3,5.0,416.0,315.0,29.0,63.0,47.0,673.0,4.0,1.32,-18.0
3.16,3,3.0,220.0,195.0,37.0,64.0,0.0,0.0,0.0,1.13,37.0
5.17,5,3.0,426.0,195.0,46.0,91.0,5.0,200.0,1.0,2.18,41.0
1.5,1,2.0,167.0,138.0,14.0,42.0,0.0,130.0,1.0,1.21,14.0
10.4,10,3.0,385.0,220.0,16.0,58.0,0.0,240.0,2.0,1.75,16.0
10.21,10,6.0,583.0,544.0,7.0,89.0,0.0,822.0,4.0,1.07,7.0
5.11,5,3.0,578.0,215.0,163.0,96.0,0.0,261.0,1.0,2.69,163.0
5.15,5,2.0,160.0,58.0,26.0,21.0,1.0,57.0,1.0,2.76,25.0
3.2,3,5.0,201.0,170.0,10.0,53.0,37.0,208.0,3.0,1.18,-27.0
1.9,1,6.0,350.0,319.0,3.0,63.0,0.0,0.0,0.0,1.1,3.0
3.13,3,2.0,151.0,156.0,7.0,73.0,0.0,231.0,1.0,0.97,7.0
3.17,3,2.0,152.0,108.0,19.0,36.0,0.0,163.0,1.0,1.41,19.0
10.13,10,4.0,265.0,208.0,7.0,35.0,0.0,315.0,3.0,1.27,7.0
1.11,1,7.0,307.0,231.0,15.0,85.0,0.0,50.0,1.0,1.33,15.0
3.6,3,4.0,409.0,174.0,131.0,66.0,2.0,257.0,3.0,2.35,129.0
4.2,4,1.0,314.0,65.0,68.0,39.0,0.0,0.0,0.0,4.83,68.0
5.12,5,2.0,77.0,75.0,0.0,5.0,0.0,0.0,0.0,1.03,0.0
5.3,5,6.0,562.0,281.0,31.0,252.0,3.0,165.0,2.0,2.0,28.0
10.2,10,3.0,236.0,207.0,0.0,34.0,0.0,0.0,0.0,1.14,0.0
9.21,9,4.0,135.0,111.0,2.0,20.0,0.0,90.0,1.0,1.22,2.0
3.14,3,6.0,623.0,427.0,74.0,175.0,0.0,440.0,3.0,1.46,74.0
5.2,5,4.0,459.0,271.0,51.0,134.0,0.0,326.0,2.0,1.69,51.0
5.18,5,2.0,199.0,126.0,17.0,59.0,0.0,0.0,0.0,1.58,17.0
10.9,10,4.0,354.0,282.0,20.0,70.0,20.0,452.0,3.0,1.26,0.0
9.20,9,4.0,337.0,158.0,28.0,113.0,0.0,206.0,3.0,2.13,28.0
10.11,10,7.0,346.0,321.0,6.0,43.0,52.0,715.0,7.0,1.08,-46.0
9.23,9,7.0,580.0,368.0,16.0,156.0,2.0,271.0,3.0,1.58,14.0
9.11,9,3.0,313.0,317.0,0.0,26.0,9.0,302.0,1.0,0.99,-9.0
5.13,5,1.0,206.0,98.0,28.0,59.0,2.0,187.0,1.0,2.1,26.0
3.4,3,2.0,116.0,101.0,12.0,44.0,0.0,80.0,1.0,1.15,12.0
3.20,3,3.0,105.0,99.0,4.0,38.0,0.0,67.0,1.0,1.06,4.0
8.12,8,4.0,448.0,281.0,59.0,117.0,0.0,280.0,2.0,1.59,59.0
3.7,3,1.0,94.0,66.0,10.0,11.0,0.0,0.0,0.0,1.42,10.0
1.7,1,5.0,393.0,241.0,9.0,171.0,0.0,0.0,0.0,1.63,9.0
3.18,3,2.0,155.0,139.0,24.0,27.0,0.0,0.0,0.0,1.12,24.0
10.27,10,7.0,468.0,400.0,38.0,89.0,22.0,579.0,4.0,1.17,16.0
9.18,9,4.0,98.0,94.0,0.0,22.0,0.0,90.0,1.0,1.04,0.0
3.9,3,5.0,338.0,222.0,69.0,123.0,0.0,100.0,1.0,1.52,69.0
9.17,9,2.0,146.0,83.0,18.0,18.0,2.0,35.0,1.0,1.76,16.0
10.8,10,3.0,158.0,123.0,14.0,22.0,0.0,140.0,1.0,1.28,14.0
3.1,3,5.0,572.0,483.0,28.0,126.0,28.0,707.0,3.0,1.18,0.0
3.8,3,7.0,576.0,399.0,25.0,280.0,11.0,596.0,5.0,1.44,14.0
9.22,9,3.0,268.0,198.0,4.0,64.0,0.0,236.0,2.0,1.35,4.0
10.16,10,3.0,155.0,141.0,1.0,51.0,4.0,190.0,2.0,1.1,-3.0
9.16,9,5.0,408.0,336.0,0.0,63.0,0.0,339.0,3.0,1.21,0.0
1.6,1,2.0,131.0,102.0,6.0,55.0,0.0,0.0,0.0,1.28,6.0
9.8,9,6.0,391.0,357.0,2.0,111.0,48.0,170.0,2.0,1.1,-46.0
1.3,1,6.0,305.0,246.0,6.0,31.0,0.0,0.0,0.0,1.24,6.0
3.19,3,2.0,308.0,173.0,65.0,37.0,17.0,295.0,2.0,1.78,48.0
10.24,10,6.0,355.0,268.0,89.0,122.0,11.0,278.0,3.0,1.32,78.0
10.26,10,4.0,273.0,280.0,78.0,93.0,1.0,60.0,1.0,0.98,77.0
10.18,10,3.0,281.0,209.0,44.0,47.0,0.0,346.0,2.0,1.34,44.0
5.5,5,2.0,124.0,110.0,0.0,68.0,0.0,0.0,0.0,1.13,0.0
10.6,10,6.0,352.0,287.0,11.0,48.0,24.0,593.0,5.0,1.23,-13.0
1.12,1,1.0,56.0,55.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0
5.7,5,3.0,152.0,117.0,11.0,48.0,0.0,0.0,0.0,1.3,11.0
9.2,9,5.0,613.0,405.0,62.0,182.0,0.0,110.0,1.0,1.51,62.0
5.4,5,3.0,477.0,407.0,0.0,112.0,66.0,647.0,1.0,1.17,-66.0
9.19,9,5.0,463.0,264.0,22.0,117.0,0.0,147.0,2.0,1.75,22.0
3.12,3,3.0,283.0,111.0,28.0,58.0,0.0,0.0,0.0,2.55,28.0
3.22,3,2.0,87.0,77.0,0.0,12.0,37.0,150.0,2.0,1.13,-37.0
5.14,5,3.0,335.0,256.0,61.0,91.0,0.0,266.0,2.0,1.31,61.0
8.22,8,3.0,287.0,284.0,4.0,107.0,0.0,0.0,0.0,1.01,4.0
1.2,1,5.0,623.0,366.0,91.0,159.0,0.0,444.0,2.0,1.7,91.0
3.5,3,5.0,319.0,278.0,14.0,89.0,5.0,265.0,2.0,1.15,9.0
10.28,10,3.0,392.0,296.0,46.0,95.0,5.0,85.0,1.0,1.32,41.0
10.1,10,2.0,222.0,93.0,91.0,7.0,0.0,0.0,0.0,2.39,91.0
5.10,5,3.0,275.0,172.0,91.0,171.0,0.0,115.0,1.0,1.6,91.0
9.1,9,3.0,330.0,160.0,14.0,42.0,0.0,0.0,0.0,2.06,14.0
10.23,10,8.0,565.0,458.0,17.0,119.0,22.0,740.0,4.0,1.23,-5.0
10.12,10,7.0,334.0,299.0,9.0,48.0,0.0,160.0,1.0,1.12,9.0
1.10,1,4.0,190.0,119.0,13.0,39.0,0.0,40.0,1.0,1.6,13.0
3.15,3,3.0,511.0,267.0,111.0,167.0,8.0,302.0,2.0,1.91,103.0
5.6,5,3.0,262.0,168.0,4.0,84.0,3.0,100.0,1.0,1.56,1.0
10.5,10,5.0,379.0,294.0,11.0,121.0,15.0,281.0,2.0,1.29,-4.0
3.11,3,3.0,135.0,133.0,1.0,50.0,33.0,197.0,2.0,1.02,-32.0
10.15,10,7.0,454.0,391.0,4.0,66.0,0.0,423.0,4.0,1.16,4.0
9.15,9,5.0,420.0,266.0,35.0,166.0,0.0,351.0,4.0,1.58,35.0
8.18,8,1.0,117.0,74.0,38.0,35.0,0.0,0.0,0.0,1.58,38.0
9.6,9,5.0,327.0,303.0,0.0,33.0,1.0,152.0,1.0,1.08,-1.0
9.3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
9.10,9,4.0,364.0,337.0,7.0,83.0,0.0,0.0,0.0,1.08,7.0
10.17,10,5.0,395.0,316.0,2.0,72.0,14.0,175.0,1.0,1.25,-12.0
9.4,9,5.0,406.0,288.0,26.0,84.0,0.0,344.0,4.0,1.41,26.0
7.2,7,1.0,65.0,77.0,0.0,35.0,0.0,0.0,0.0,0.84,0.0
8.3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8.19,8,3.0,188.0,166.0,4.0,45.0,0.0,0.0,0.0,1.13,4.0
10.22,10,5.0,487.0,349.0,92.0,114.0,0.0,529.0,4.0,1.4,92.0
3.10,3,5.0,422.0,369.0,48.0,121.0,40.0,517.0,3.0,1.14,8.0
5.16,5,3.0,238.0,191.0,4.0,199.0,0.0,0.0,0.0,1.25,4.0
10.29,10,1.0,207.0,48.0,96.0,12.0,0.0,100.0,1.0,4.31,96.0
4.7,4,6.0,274.0,225.0,39.0,66.0,32.0,422.0,3.0,1.22,7.0
8.4,8,4.0,382.0,318.0,24.0,133.0,118.0,664.0,4.0,1.2,-94.0
5.1,5,2.0,193.0,112.0,22.0,43.0,0.0,152.0,1.0,1.72,22.0
4.18,4,3.0,277.0,176.0,30.0,88.0,0.0,273.0,1.0,1.57,30.0
8.9,8,4.0,354.0,190.0,45.0,83.0,0.0,110.0,2.0,1.86,45.0
2.14,2,7.0,254.0,207.0,4.0,89.0,0.0,0.0,0.0,1.23,4.0
4.23,4,3.0,97.0,92.0,6.0,12.0,0.0,299.0,2.0,1.05,6.0
4.26,4,2.0,297.0,213.0,79.0,59.0,3.0,276.0,1.0,1.39,76.0
7.5,7,3.0,372.0,225.0,172.0,50.0,0.0,280.0,2.0,1.65,172.0
8.11,8,1.0,230.0,66.0,95.0,2.0,0.0,0.0,0.0,3.48,95.0
8.7,8,1.0,221.0,189.0,0.0,17.0,0.0,0.0,0.0,1.17,0.0
7.3,7,5.0,846.0,450.0,250.0,158.0,0.0,453.0,2.0,1.88,250.0
7.18,7,5.0,610.0,464.0,208.0,157.0,0.0,369.0,2.0,1.31,208.0
8.27,8,1.0,242.0,229.0,19.0,118.0,0.0,0.0,0.0,1.06,19.0
8.15,8,3.0,189.0,126.0,19.0,46.0,0.0,38.0,1.0,1.5,19.0
4.11,4,2.0,100.0,63.0,17.0,29.0,0.0,78.0,1.0,1.59,17.0
4.25,4,3.0,273.0,213.0,72.0,72.0,0.0,0.0,0.0,1.28,72.0
9.13,9,6.0,499.0,307.0,33.0,117.0,0.0,277.0,3.0,1.63,33.0
2.7,2,1.0,173.0,81.0,26.0,41.0,0.0,160.0,1.0,2.14,26.0
11.4,11,2.0,274.0,266.0,38.0,139.0,0.0,310.0,1.0,1.03,38.0
4.14,4,4.0,330.0,284.0,1.0,73.0,77.0,662.0,4.0,1.16,-76.0
8.6,8,4.0,423.0,224.0,62.0,154.0,1.0,159.0,2.0,1.89,61.0
4.4,4,1.0,193.0,34.0,211.0,17.0,0.0,0.0,0.0,5.68,211.0
2.9,2,1.0,48.0,50.0,0.0,13.0,0.0,81.0,1.0,0.96,0.0
7.13,7,1.0,67.0,53.0,1.0,39.0,27.0,202.0,1.0,1.26,-26.0
2.15,2,1.0,101.0,54.0,6.0,19.0,0.0,96.0,1.0,1.87,6.0
2.11,2,7.0,263.0,225.0,3.0,43.0,36.0,375.0,5.0,1.17,-33.0
4.21,4,3.0,282.0,271.0,1.0,32.0,44.0,531.0,2.0,1.04,-43.0
7.19,7,1.0,435.0,67.0,763.0,20.0,0.0,0.0,0.0,6.49,763.0
2.17,2,2.0,93.0,75.0,1.0,23.0,0.0,170.0,1.0,1.24,1.0
7.24,7,3.0,239.0,184.0,35.0,55.0,0.0,0.0,0.0,1.3,35.0
11.2,11,2.0,204.0,139.0,44.0,82.0,0.0,105.0,1.0,1.47,44.0
4.9,4,4.0,195.0,147.0,22.0,92.0,0.0,205.0,2.0,1.33,22.0
11.3,11,2.0,173.0,153.0,13.0,88.0,0.0,151.0,1.0,1.13,13.0
4.12,4,6.0,490.0,245.0,145.0,104.0,0.0,702.0,5.0,2.0,145.0
8.2,8,2.0,169.0,119.0,5.0,35.0,4.0,200.0,1.0,1.42,1.0
8.13,8,1.0,104.0,100.0,0.0,38.0,0.0,0.0,0.0,1.04,0.0
4.22,4,4.0,217.0,195.0,1.0,43.0,24.0,223.0,1.0,1.11,-23.0
1.4,1,3.0,211.0,209.0,1.0,42.0,0.0,0.0,0.0,1.01,1.0
8.5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8.25,8,4.0,305.0,250.0,21.0,99.0,0.0,0.0,0.0,1.22,21.0
4.8,4,6.0,325.0,238.0,38.0,80.0,0.0,179.0,2.0,1.37,38.0
8.21,8,3.0,325.0,196.0,118.0,108.0,1.0,172.0,2.0,1.66,117.0
8.14,8,5.0,651.0,401.0,59.0,170.0,0.0,50.0,1.0,1.62,59.0
1.8,1,4.0,270.0,208.0,4.0,88.0,0.0,30.0,1.0,1.3,4.0
4.24,4,3.0,264.0,165.0,68.0,51.0,4.0,200.0,1.0,1.6,64.0
2.16,2,2.0,87.0,55.0,4.0,22.0,8.0,116.0,2.0,1.58,-4.0
7.14,7,6.0,589.0,431.0,366.0,99.0,0.0,565.0,4.0,1.37,366.0
4.15,4,5.0,444.0,304.0,21.0,158.0,0.0,457.0,2.0,1.46,21.0
8.8,8,1.0,18.0,36.0,0.0,9.0,0.0,0.0,0.0,0.5,0.0
2.6,2,7.0,424.0,300.0,66.0,144.0,13.0,559.0,6.0,1.41,53.0
11.5,11,7.0,453.0,379.0,28.0,230.0,0.0,238.0,3.0,1.2,28.0
8.23,8,1.0,133.0,56.0,97.0,27.0,0.0,0.0,0.0,2.38,97.0
4.19,4,6.0,301.0,281.0,1.0,93.0,12.0,215.0,1.0,1.07,-11.0
8.20,8,4.0,430.0,252.0,157.0,91.0,0.0,170.0,2.0,1.71,157.0
8.1,8,2.0,63.0,55.0,1.0,9.0,0.0,50.0,1.0,1.15,1.0
9.9,9,9.0,649.0,488.0,13.0,138.0,34.0,331.0,3.0,1.33,-21.0
2.12,2,5.0,263.0,186.0,6.0,62.0,0.0,66.0,2.0,1.41,6.0
4.10,4,4.0,385.0,286.0,55.0,77.0,0.0,647.0,4.0,1.35,55.0
4.20,4,4.0,187.0,135.0,19.0,32.0,6.0,308.0,3.0,1.39,13.0
4.13,4,4.0,240.0,225.0,2.0,70.0,0.0,370.0,2.0,1.07,2.0
4.3,4,4.0,270.0,165.0,42.0,83.0,3.0,140.0,1.0,1.64,39.0
2.2,2,7.0,588.0,260.0,94.0,208.0,8.0,227.0,4.0,2.26,86.0
8.26,8,3.0,218.0,206.0,0.0,104.0,0.0,0.0,0.0,1.06,0.0
2.10,2,6.0,229.0,176.0,33.0,99.0,21.0,411.0,5.0,1.3,12.0
2.13,2,5.0,187.0,165.0,0.0,98.0,0.0,0.0,0.0,1.13,0.0
7.15,7,3.0,90.0,109.0,0.0,57.0,0.0,0.0,0.0,0.83,0.0
7.4,7,2.0,447.0,215.0,228.0,56.0,0.0,323.0,1.0,2.08,228.0
7.8,7,5.0,320.0,349.0,229.0,75.0,2.0,76.0,1.0,0.92,227.0
