desig7,grupamento,vagas,DENOMINACAO,BAIRRO,LATITUDE,LONGITUDE,sobra_3km
0001006,Berçário,3,CP CRECHE DO TUIUTI,BENFICA,-22.8978552,-43.23659028,0
0001010,Berçário,1,CP CENTRO CULTURAL MONTESSORI - SÃO CRISTÓVÃO,SÃO CRISTÓVÃO,-22.89682824,-43.23647362,0
0002003,Berçário,6,CP CENTRO COMUNITÁRIO DA RUA UM UNIÃO FAZ A FORÇA,ROCINHA,-22.98642263,-43.24521927,0
0002010,Berçário,1,CP CRECHE PATINHO FELIZ,VILA ISABEL,-22.91515809,-43.26162846,0
0002011,Berçário,2,CP SOCIEDADE CIVIL DE ASSISTÊNCIA A MENORES - CASA DA DINDA,VILA ISABEL,-22.91421868,-43.25481999,0
0002019,Berçário,7,CP UNIDAS - OBRAS SOCIAIS UNIDAS DE SANTA MARTA,BOTAFOGO,-22.94739012,-43.1940714,0
0002025,Berçário,2,CP CRECHE BEZERRA DE MENEZES - BOTAFOGO,BOTAFOGO,-22.95335051,-43.19505846,0
0002028,Berçário,6,CP OBRAS SOCIAIS PADRE ALEIXO,FLAMENGO,-22.93738397,-43.17922769,0
0002029,Berçário,2,CP CASA DA CRIANÇA,BOTAFOGO,-22.95376697,-43.17703523,0
0002037,Berçário,5,CP CRECHE COMUNITÁRIA CANTINHO DA NATUREZA,COPACABANA,-22.96304873,-43.19386787,0
0002039,Berçário,1,CP CRECHE ESCOLA MENINOS DE LUZ,COPACABANA,-22.980926,-43.19565188,0
0002047,Berçário,2,CP GRUPO COMUNITÁRIO MORRO DA ALEGRIA,ROCINHA,-22.99001468,-43.24478783,0
0002049,Berçário,7,CP OBRA DO BERÇO,LAGOA,-22.96339094,-43.20299223,0
0002053,Berçário,5,CP CRECHE ESPERANÇA,LEBLON,-22.98073266,-43.22117188,0
0002054,Berçário,4,CP UNIÃO DE MULHERES PRO-MELHORAMENTO DA ROUPA SUJA,ROCINHA,-22.99003892,-43.24550019,0
0002060,Berçário,36,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL - ROCINHA,ROCINHA,-22.98638312,-43.24528365,0
0003002,Berçário,16,CP ABRIGO MARIA IMACULADA,ROCHA,-22.90056725,-43.24951092,0
0003015,Berçário,3,CP CRECHE MARIETTA NAVARRO GAIO,ROCHA,-22.90458707,-43.25192193,0
0003016,Berçário,4,CP CRECHE SÃO PEDRO NOLASCO,RAMOS,-22.86244302,-43.26375257,0
0003022,Berçário,37,CP INSTITUTO AVANTE ELITE DO FUTURO,PILARES,-22.87453725,-43.2938692,0
0003026,Berçário,13,CP CHALÉ SEMENTINHA,HIGIENÓPOLIS,-22.88059599,-43.25631045,0
